Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,mvp score
Montrezl Harrell\harremo01,C,28,WAS,27,3,26.1,5.7,8.8,0.643,0.1,0.3,0.25,5.6,8.5,0.657,0.647,3.5,4.8,0.731,2.4,5.4,7.9,2.1,0.6,0.7,1.3,2,14.9,25.4,0.683,0.034,0.546,10.6,21.8,16.4,13.8,1.1,2.2,10.6,21,2.9,0.8,3.7,0.25,4.6,0.5,5.1,1.3,1,
Gary Harris\harriga01,SG,27,ORL,22,12,26.3,3.2,7.4,0.436,1.1,3.5,0.316,2.1,4,0.54,0.509,0.6,0.8,0.765,0.9,1.5,2.4,1.6,0.6,0.1,1.1,1.7,8.1,8.5,0.525,0.466,0.104,3.4,6.1,4.8,9.6,1.2,0.3,12.3,14.4,0.1,0,0.1,0.012,-3.3,-1.6,-4.9,-0.4,1,
Josh Hart\hartjo01,PF,26,NOP,22,21,30.9,4.3,8.4,0.511,0.8,2.3,0.333,3.5,6,0.579,0.557,2,2.4,0.846,1.2,5.6,6.8,4.1,0.9,0.3,1.7,2.9,11.3,15.1,0.602,0.277,0.283,4,20.3,11.9,20,1.4,1,15.2,15.3,1.2,0.4,1.6,0.114,-0.1,0.3,0.2,0.4,1,
Isaiah Hartenstein\harteis01,C,23,LAC,26,0,15.8,3,4.7,0.653,0.1,0.1,0.667,3,4.5,0.653,0.661,1,1.7,0.614,1.8,2.8,4.7,1.7,0.8,1.2,1,2.5,7.2,23.9,0.666,0.025,0.364,12.7,18.6,15.7,17.3,2.6,6.6,15.1,17.6,1.3,0.9,2.2,0.259,0.9,3.8,4.6,0.7,1,
Killian Hayes\hayeski01,PG,20,DET,21,21,25.6,2.2,6.6,0.333,1,2.9,0.344,1.2,3.7,0.325,0.409,0.9,1,0.905,0.6,2.9,3.4,3.7,1.1,0.4,1.5,2.6,6.3,8.6,0.448,0.442,0.152,2.3,13.1,7.3,21.8,2.2,1.5,17.4,14.3,-0.3,0.5,0.2,0.017,-4.9,0.6,-4.3,-0.3,1,
Gordon Hayward\haywago01,SF,31,CHO,28,28,34.6,6.2,13.7,0.453,1.7,4.6,0.367,4.5,9.1,0.496,0.514,3.5,4.1,0.853,0.9,4,4.9,3.9,0.9,0.6,2,1.9,17.6,15.8,0.568,0.333,0.302,2.6,12.7,7.5,16,1.2,1.7,11.2,21.4,1.5,0.2,1.7,0.084,0.7,-1.9,-1.2,0.2,1,
Tyler Herro\herroty01,SG,22,MIA,24,7,33.2,7.9,17.9,0.442,2.7,7,0.389,5.2,11,0.475,0.517,2.1,2.5,0.864,0.8,4.6,5.4,3.8,0.6,0.1,3.2,1.3,20.7,15.2,0.544,0.388,0.137,2.7,15.2,9.1,19.6,0.9,0.3,14.3,29.6,0.2,0.7,0.9,0.053,1.4,-1.9,-0.4,0.3,1,
Buddy Hield\hieldbu01,SG,29,SAC,27,2,28.3,5.3,13.8,0.382,3.5,10,0.349,1.8,3.8,0.466,0.508,1.7,2,0.849,0.7,3.5,4.2,2.1,0.7,0.3,1.6,2,15.7,13.8,0.535,0.723,0.142,2.7,12.9,7.8,11.1,1.3,0.9,9.8,24.2,0.5,0.3,0.8,0.053,1.8,-2.3,-0.5,0.3,1,
George Hill\hillge01,SG,35,MIL,23,11,26.7,2.7,6,0.439,1,3,0.324,1.7,3.1,0.549,0.518,1.1,1.2,0.929,0.9,2.7,3.6,2.5,0.8,0.1,1,1.7,7.4,10.7,0.562,0.489,0.201,3.7,10.1,7,12.7,1.5,0.5,13.7,12.2,0.7,0.6,1.3,0.102,-2,-0.4,-2.3,0,1,
Aaron Holiday\holidaa01,PG,25,WAS,26,7,16.7,2.3,5.1,0.455,0.5,1.4,0.351,1.8,3.7,0.495,0.504,0.5,0.7,0.778,0.2,1.3,1.5,1.9,0.5,0.3,1,1.5,5.7,10,0.525,0.28,0.136,1,8.2,4.7,16.7,1.6,1.5,16.2,17.2,0,0.3,0.3,0.029,-3.1,0.1,-3,-0.1,1,
