Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,
Jordan Bone\bonejo01,PG,23,ORL,14,0,14,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0,0,,0.3,1.4,1.7,1.3,0.1,0,0.2,0.8,4,8.9,0.519,0.593,0,2.1,11.1,6.4,13.5,0.5,0,5.3,12.6,0.1,0.1,0.2,0.049,-2.6,-1.6,-4.2,-0.1,1,
Isaac Bonga\bongais01,SF,21,WAS,39,8,10.9,0.8,2.1,0.375,0.3,1.2,0.283,0.4,0.9,0.5,0.456,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.3,0.2,0.5,1.5,2,4.2,0.467,0.575,0.1,4.5,11.9,8.2,6.4,1.2,1.6,20.1,10.2,-0.3,0.3,0,0.003,-5.5,-0.8,-6.3,-0.5,1,
Devin Booker\bookede01,SG,24,PHO,60,60,33.8,9.4,19.3,0.487,1.9,5.6,0.344,7.5,13.7,0.546,0.537,4.9,5.7,0.858,0.5,3.7,4.1,4.4,0.9,0.3,3.2,2.8,25.6,19.4,0.587,0.291,0.293,1.5,12.1,6.9,21.4,1.2,0.7,12.7,32.9,2.5,2,4.5,0.107,1.5,-1.2,0.2,1.1,1,
Chris Boucher\bouchch01,C,28,TOR,59,13,24,4.8,9.2,0.519,1.5,3.8,0.389,3.3,5.4,0.611,0.6,2.5,3.2,0.787,2,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6,22.2,0.639,0.415,0.345,8.8,22.5,15.4,7.1,1.2,7.8,6.8,20.6,4,2.1,6.1,0.208,2.8,0.2,3.1,1.8,1,
Brian Bowen\bowenbr02,SF,22,IND,6,0,2.5,0.2,0.7,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.2,0.2,1,0,0.5,0.5,0,0,0,0,0.2,0.5,1.1,0.338,0.25,0.25,0,21.6,10.8,0,0,0,0,12.6,0,0,0,-0.062,-8.2,-3.3,-11.5,0,1,
Avery Bradley\bradlav01,SG,30,TOT,26,5,22.2,2.4,6.3,0.382,1.3,3.8,0.337,1.2,2.6,0.448,0.482,0.5,0.6,0.8,0.3,1.8,2.1,1.7,0.8,0.2,1,2,6.6,6.7,0.498,0.594,0.091,1.3,9,5.1,10.7,1.7,0.6,13.2,14.9,-0.4,0.4,0,0.003,-4.6,-0.7,-5.2,-0.5,1,
Avery Bradley\bradlav01,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,10.4,0.607,0.576,0.136,1.1,8.4,4.8,10.1,1.7,0.5,11.4,16.9,0.1,0.2,0.3,0.074,-2.7,-0.6,-3.2,-0.1,1,
Avery Bradley\bradlav01,SG,30,HOU,16,4,22.9,2,6.2,0.323,1.1,3.8,0.283,0.9,2.4,0.385,0.409,0.3,0.4,0.833,0.3,1.9,2.3,1.8,0.8,0.2,1.1,1.7,5.4,4.6,0.423,0.606,0.061,1.4,9.4,5.2,11,1.7,0.7,14.3,13.8,-0.5,0.2,-0.3,-0.038,-5.7,-0.7,-6.4,-0.4,1,
Tony Bradley\bradlto01,C,23,TOT,38,8,16.2,3.1,4.7,0.663,0,0.1,0,3.1,4.6,0.674,0.663,0.9,1.3,0.667,2.1,3.6,5.7,0.8,0.4,0.7,0.8,1.5,7.1,21,0.674,0.017,0.287,14.1,23.6,18.9,8.1,1.2,4,13,16,1.6,0.9,2.5,0.196,1.2,0.2,1.3,0.5,1,
Tony Bradley\bradlto01,C,23,PHI,20,8,14.4,2.6,3.8,0.68,0,0.1,0,2.6,3.7,0.689,0.68,0.4,0.6,0.636,2,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5,21.1,0.683,0.013,0.147,15.2,24.5,19.9,8.8,1,4,7,12.8,1,0.5,1.5,0.244,2.1,1,3.1,0.4,1,
Tony Bradley\bradlto01,C,23,OKC,18,0,18.2,3.7,5.7,0.65,0,0.1,0,3.7,5.6,0.663,0.65,1.5,2.2,0.675,2.3,3.9,6.3,0.8,0.5,0.8,1.3,1.6,8.9,20.8,0.667,0.019,0.388,13.2,22.7,17.9,7.6,1.3,4,16.6,18.7,0.6,0.4,1,0.153,0.4,-0.6,-0.2,0.1,1,
Jarrell Brantley\brantja01,PF,24,UTA,23,0,5,0.9,1.7,0.5,0.4,1,0.435,0.4,0.7,0.588,0.625,0.1,0.1,1,0.3,0.7,1,0.5,0.2,0.1,0.3,0.7,2.3,16,0.636,0.575,0.05,5.7,14.9,10.5,13.9,2.1,1.4,12.8,17.4,0.2,0.2,0.4,0.176,-0.2,1.5,1.3,0.1,1,
Ignas Brazdeikis\brazdig01,SF,22,TOT,5,0,3,0,0.8,0,0,0.2,0,0,0.6,0,0,0.4,0.4,1,0.2,0.6,0.8,0.2,0,0,0.2,0,0.4,-1.2,0.205,0.25,0.5,7.3,21.7,14.6,8.1,0,0,17,17.1,-0.1,0,0,-0.157,-11.5,-3.1,-14.6,0,1,
Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,1.8,0,0.3,0,0,0,,0,0.3,0,0,0.5,0.5,1,0.3,0.3,0.5,0.3,0,0,0.3,0,0.5,11.2,0.532,0,2,15.7,15.5,15.6,17.4,0,0,34.7,18.2,0,0,0,0.039,-2.9,-1.9,-4.8,0,1,
Ignas Brazdeikis\brazdig01,SF,22,PHI,1,0,8,0,3,0,0,1,0,0,2,0,0,0,0,,0,2,2,0,0,0,0,0,0,-12,0,0.333,0,0,27.1,13.8,0,0,0,0,16.1,-0.1,0,-0.1,-0.328,-18.9,-4.2,-23.2,0,1,
Mikal Bridges\bridgmi01,SF,24,PHO,64,64,32.7,5,9.3,0.532,1.8,4.5,0.407,3.2,4.9,0.645,0.629,1.5,1.8,0.819,1.1,3.3,4.3,2.2,1,0.9,0.8,1.6,13.2,15.9,0.653,0.477,0.194,3.8,11,7.5,9,1.5,2.4,7.3,14.9,4.5,2.5,7,0.16,1.9,0.8,2.7,2.5,1,
Miles Bridges\bridgmi02,PF,22,CHO,64,18,29,4.6,9.1,0.506,1.7,4.2,0.405,2.9,4.9,0.592,0.599,1.5,1.7,0.862,1.2,4.8,6.1,2.2,0.7,0.8,1.6,2.1,12.4,14.6,0.628,0.461,0.187,4.6,18.3,11.4,11.4,1.1,2.6,14,17.1,2.3,1.8,4.1,0.107,0.1,0,0,0.9,1,
Amida Brimah\brimaam01,C,26,IND,4,0,6.8,1.3,2,0.625,0,0,,1.3,2,0.625,0.625,0.8,0.8,1,0.3,1.5,1.8,0.3,0,1.3,0.8,1,3.3,18.3,0.697,0,0.375,4,24,14.1,5.3,0,15.1,24.4,19.5,0,0.1,0.1,0.11,-4.5,2.5,-2.1,0,1,
Oshae Brissett\brissos01,SF,22,IND,12,7,23,3.3,6.6,0.506,1.6,3.5,0.452,1.8,3.1,0.568,0.627,2.1,2.8,0.735,1.4,4.5,5.9,0.8,0.7,1.4,0.4,1.5,10.3,19.1,0.66,0.532,0.43,6.7,21.2,14,4.9,1.4,5,5.1,15.3,0.7,0.4,1.1,0.189,1.6,0,1.6,0.3,1,
Malcolm Brogdon\brogdma01,PG,28,IND,56,56,34.5,7.9,17.5,0.453,2.6,6.7,0.388,5.3,10.8,0.493,0.527,2.7,3.2,0.864,1,4.2,5.3,5.9,0.9,0.3,2.1,2,21.2,18.1,0.561,0.382,0.181,3.3,13.2,8.3,26.1,1.2,0.6,9.8,26,3,1.4,4.4,0.108,2.9,-1.4,1.5,1.7,1,
Armoni Brooks\brookar01,SG,22,HOU,13,5,22.4,2.5,7.4,0.333,2.1,6.3,0.329,0.4,1.1,0.357,0.474,0.2,0.5,0.429,0.5,3,3.5,1.2,0.3,0.2,1.1,1.4,7.2,5.6,0.474,0.854,0.073,2.1,14.9,8.2,7.4,0.7,0.6,12.4,16.5,-0.4,0.1,-0.2,-0.035,-3.9,-2.3,-6.2,-0.3,1,
Dillon Brooks\brookdi01,SF,25,MEM,59,59,29.4,6.3,15.1,0.42,1.9,5.5,0.345,4.4,9.6,0.462,0.482,2.3,2.8,0.84,0.8,2.1,2.9,2.3,1.2,0.4,1.9,3.5,16.8,12,0.517,0.362,0.183,2.8,7.8,5.3,11.6,1.9,1.2,10.3,26.1,-0.5,1.6,1.1,0.031,-2.7,-1.3,-4,-0.9,1,
Bruce Brown\brownbr01,PG,24,BRK,58,32,22,3.5,6.4,0.546,0.3,0.9,0.291,3.2,5.5,0.59,0.567,1.3,1.8,0.736,1.7,3.5,5.1,1.6,0.9,0.4,0.9,2.3,8.6,15.6,0.597,0.148,0.285,8.8,16.7,12.9,9.6,2,1.4,10.7,15.9,2.3,1.3,3.6,0.136,-0.7,0,-0.7,0.4,1,
Charlie Brown\brownch02,SG,23,OKC,3,1,16,1.7,6.3,0.263,1,3.7,0.273,0.7,2.7,0.25,0.342,0.7,0.7,1,0.3,2,2.3,0.7,1,0.3,1,1.3,5,4.1,0.377,0.579,0.105,2.2,13.1,7.6,5.9,3,1.8,13.1,20.2,-0.2,0.1,-0.1,-0.095,-8.1,0.2,-7.9,-0.1,1,
Jaylen Brown\brownja02,SG,24,BOS,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6,3.4,1.2,0.6,2.7,2.9,24.7,20,0.586,0.37,0.225,3.9,15.5,9.7,16.6,1.8,1.5,11.5,29.7,3,2,5,0.119,3.5,-1,2.5,2.3,1,
Moses Brown\brownmo01,C,21,OKC,36,25,20.3,3.3,6,0.558,0,0,0,3.3,6,0.558,0.558,1.8,2.9,0.619,3.3,5.1,8.4,0.2,0.7,0.9,1.1,2.1,8.5,18.7,0.584,0,0.488,16.9,26.2,21.5,1.5,1.6,4.1,12.7,17.4,1.1,1,2.1,0.138,-1.2,-1.4,-2.6,-0.1,1,
Sterling Brown\brownst02,SG,25,HOU,51,14,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,11.2,0.597,0.642,0.093,3.2,16.8,9.7,8.5,1.5,0.9,10.5,13.5,1,0.9,2,0.077,-1.7,0,-1.7,0.1,1,
Troy Brown Jr.\browntr01,SF,21,TOT,34,0,15.4,1.8,4.2,0.431,0.6,2.1,0.314,1.2,2.2,0.541,0.507,0.4,0.6,0.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7,8.6,0.525,0.486,0.146,4.2,17.5,10.9,7.3,0.9,1,12.1,14,0,0.4,0.5,0.042,-3.3,-1,-4.3,-0.3,1,
Troy Brown Jr.\browntr01,SF,21,WAS,21,0,13.7,1.6,4.2,0.371,0.7,2.2,0.304,0.9,2,0.442,0.449,0.5,0.7,0.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3,6.4,0.471,0.517,0.169,4.1,18.4,11.3,8.6,0.5,1.2,14.3,16.2,-0.3,0.2,-0.1,-0.009,-3.7,-2,-5.7,-0.3,1,
Troy Brown Jr.\browntr01,SF,21,CHI,13,0,18.2,2.2,4.2,0.527,0.6,1.8,0.333,1.6,2.4,0.677,0.6,0.4,0.5,0.833,0.7,2.7,3.4,0.8,0.5,0.2,0.4,1.5,5.5,11.2,0.616,0.436,0.109,4.3,16.3,10.4,5.6,1.4,0.7,8,11.4,0.3,0.2,0.5,0.104,-2.7,0.2,-2.5,0,1,
Jalen Brunson\brunsja01,PG,24,DAL,60,12,25.2,4.8,9.2,0.519,1.1,2.9,0.385,3.7,6.3,0.581,0.58,1.8,2.3,0.79,0.5,3.1,3.5,3.4,0.5,0,1.2,1.6,12.5,16.7,0.611,0.316,0.25,2,13.3,7.7,20.6,1,0,10.5,20,3.3,1,4.3,0.136,1.2,-1,0.2,0.8,1,
Thomas Bryant\bryanth01,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,18.8,0.704,0.231,0.264,7.1,16.8,12,8.3,0.7,2.5,9.8,17.3,0.7,0.2,1,0.172,2.1,-1.7,0.4,0.2,1,
Reggie Bullock\bullore01,SF,29,NYK,57,56,28.9,3.7,8.4,0.445,2.4,5.9,0.414,1.3,2.5,0.521,0.591,0.6,0.7,0.881,0.2,3.1,3.4,1.5,0.8,0.2,0.7,2.2,10.5,11.1,0.607,0.706,0.088,0.9,11.7,6.3,7.4,1.3,0.5,7.3,14.3,2,1.9,3.9,0.114,-0.8,0.6,-0.2,0.8,1,
Trey Burke\burketr01,PG,28,DAL,54,1,14.9,2.6,5.8,0.444,1,2.7,0.375,1.6,3.1,0.503,0.531,0.8,0.9,0.878,0.1,0.7,0.9,1.4,0.6,0.1,0.6,1,6.9,13.4,0.561,0.463,0.158,0.8,5.4,3.1,13.7,2.1,0.6,8.3,19.9,0.8,0.6,1.4,0.084,-0.8,-0.3,-1.1,0.2,1,
Alec Burks\burksal01,SG,29,NYK,44,5,25.8,4.2,10.1,0.414,2,5,0.408,2.2,5.1,0.42,0.515,2.2,2.5,0.865,0.4,4.1,4.5,2.2,0.7,0.3,1,2.1,12.6,14.6,0.561,0.491,0.25,1.8,17.1,9.5,12.9,1.3,1,8.2,21,1.4,1.6,3,0.126,0.5,0.3,0.8,0.8,1,
Jimmy Butler\butleji01,SF,31,MIA,48,48,33.8,7.1,14.4,0.493,0.4,1.9,0.204,6.7,12.4,0.539,0.507,6.9,8,0.865,1.8,5.2,7,7.2,2.1,0.4,2.1,1.4,21.5,26.4,0.601,0.135,0.557,6.2,17.1,11.7,35.9,3.1,1.2,10.5,26.7,5.9,2.6,8.5,0.253,4.9,2.5,7.4,3.9,1,
Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8,9.1,0.475,0.294,0.118,8.5,33.9,20.7,4.7,0,5,18.3,25.9,-0.1,0,-0.1,-0.082,-8.5,-2.1,-10.6,-0.1,1,
Devontae Cacok\cacokde01,PF,24,LAL,18,1,5,0.9,1.5,0.63,0,0,,0.9,1.5,0.63,0.63,0.2,0.5,0.444,0.6,1.1,1.7,0.1,0.3,0.2,0.3,0.4,2.1,18.5,0.614,0,0.333,12.6,24.6,18.7,1.7,2.7,4,13.9,17.4,0.1,0.2,0.3,0.158,-0.9,1.5,0.6,0.1,1,
Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,59,59,27.8,3.2,7.5,0.428,1.8,4.3,0.413,1.4,3.2,0.447,0.546,1.3,1.5,0.865,0.4,2.2,2.6,1.7,0.9,0.3,1,1.6,9.5,10.3,0.582,0.572,0.2,1.6,8.7,5.2,8.4,1.6,1.1,10.6,14.3,1.2,2.2,3.4,0.1,-1.7,0.3,-1.4,0.3,1,
Facundo Campazzo\campafa01,PG,29,DEN,58,12,20.8,1.7,4.4,0.391,1.2,3.1,0.372,0.6,1.3,0.436,0.521,1.1,1.3,0.863,0.3,1.4,1.8,3.3,1.1,0.2,1.1,2.1,5.7,11.1,0.572,0.698,0.283,1.7,7.9,4.8,19.4,2.5,1,17.6,12.8,1.4,1.2,2.6,0.102,-1.9,0.7,-1.3,0.2,1,
Vlatko Čančar\cancavl01,PF,23,DEN,35,0,5.3,0.5,1.3,0.432,0.2,0.7,0.261,0.4,0.6,0.619,0.5,0.2,0.2,0.875,0.2,0.9,1,0.3,0.3,0.1,0.3,0.4,1.5,8.7,0.537,0.523,0.182,3.7,18.1,10.9,6.7,2.4,1,20.2,13.9,-0.1,0.2,0.1,0.036,-3.4,0.6,-2.8,0,1,
Devin Cannady\cannade01,PG,24,ORL,8,0,9.3,1.4,3.5,0.393,0.8,2,0.375,0.6,1.5,0.417,0.5,0.8,0.9,0.857,0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,4.3,11.3,0.547,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.4,0,0.1,0.1,0.061,-4.4,1.3,-3.1,0,1,
Clint Capela\capelca01,C,26,ATL,57,57,30.2,6.6,11.2,0.591,0,0,0,6.6,11.2,0.591,0.591,2.1,3.6,0.567,4.8,9.7,14.5,0.8,0.7,2.1,1.1,2.3,15.4,24.7,0.598,0,0.324,17.8,34.7,26.4,4.4,1.1,6.1,8.2,20.2,4.5,3,7.4,0.208,2.9,-0.1,2.8,2.1,1,
Vernon Carey Jr.\careyve01,C,19,CHO,16,4,6.3,1,1.9,0.516,0.1,0.4,0.143,0.9,1.5,0.625,0.532,0.5,0.6,0.889,0.3,1.2,1.4,0.1,0.1,0.3,0.3,0.7,2.6,11.8,0.586,0.226,0.29,4.3,20.9,12.5,3,0.5,4,12.5,17.3,0,0.1,0.1,0.068,-4.3,-1.6,-5.9,-0.1,1,
Jevon Carter\carteje01,PG,25,PHO,52,0,11.5,1.5,3.5,0.413,0.9,2.5,0.362,0.6,1,0.537,0.541,0.1,0.1,0.5,0.3,1.2,1.5,1.2,0.5,0.2,0.3,1,3.9,11.9,0.541,0.707,0.033,2.5,11.9,7.3,13.2,2.1,1.4,6.5,14.8,0.6,0.8,1.3,0.108,-0.7,1.6,0.9,0.4,1,
Wendell Carter Jr.\cartewe01,C,21,TOT,50,40,25.5,4.4,8.5,0.515,0.3,0.9,0.311,4.1,7.6,0.54,0.532,2.5,3.4,0.731,2.4,5.7,8.1,2,0.7,0.8,1.5,2.7,11.5,17.1,0.577,0.106,0.404,10.1,24.5,17.3,11.3,1.3,2.7,13.1,19.5,1.7,1.6,3.3,0.124,-0.8,-0.4,-1.2,0.2,1,
Wendell Carter Jr.\cartewe01,C,21,CHI,32,25,24.8,4,7.9,0.512,0.3,0.7,0.364,3.8,7.2,0.526,0.528,2.6,3.5,0.739,2.2,5.6,7.8,2.2,0.6,0.8,1.5,3,10.9,16.3,0.578,0.087,0.44,10,25.1,17.6,12.2,1.1,2.6,14,19.1,1.1,1,2.1,0.126,-1.3,-0.1,-1.4,0.1,1,
Wendell Carter Jr.\cartewe01,C,21,ORL,18,15,26.9,4.9,9.5,0.52,0.3,1.3,0.261,4.6,8.2,0.561,0.538,2.4,3.3,0.717,2.8,5.8,8.6,1.6,0.9,0.8,1.4,2.3,12.6,18.5,0.575,0.135,0.351,10.4,23.5,16.7,9.8,1.6,2.9,11.6,20,0.6,0.6,1.2,0.122,-0.1,-0.9,-0.9,0.1,1,
Michael Carter-Williams\cartemi01,SG,29,ORL,31,25,25.8,3.4,8.7,0.389,0.5,2,0.246,2.9,6.7,0.431,0.417,1.6,2.6,0.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8,9.5,0.449,0.226,0.296,4.9,13.5,9.1,24.2,1.5,2,18.4,20.2,-1.1,0.7,-0.4,-0.024,-4.5,-0.1,-4.6,-0.5,1,
Alex Caruso\carusal01,PG,26,LAL,52,1,20.5,2.1,4.8,0.429,0.9,2.3,0.4,1.2,2.5,0.455,0.524,0.8,1.3,0.662,0.5,2.4,2.9,2.6,1.1,0.3,1.2,1.8,5.9,10.8,0.547,0.476,0.258,2.9,12.8,7.9,16.8,2.6,1.1,18.3,14,0.3,1.9,2.2,0.097,-2.6,2.3,-0.3,0.5,1,
Willie Cauley-Stein\caulewi01,C,27,DAL,45,11,17.2,2.2,3.5,0.627,0,0.2,0.1,2.2,3.3,0.662,0.63,1,1.6,0.625,1.3,3.1,4.4,0.6,0.4,0.8,0.5,2.4,5.4,14.5,0.643,0.063,0.456,8.2,19.7,14,5.2,1.1,4.3,10.8,12.1,1.4,1,2.4,0.149,-2,0.5,-1.5,0.1,1,
Chris Chiozza\chiozch01,PG,25,BRK,22,1,10.5,1.4,4,0.352,0.6,1.9,0.31,0.8,2.1,0.391,0.426,0.6,0.8,0.765,0.1,1,1.1,3,0.3,0.3,0.7,0.9,4,12.9,0.461,0.477,0.193,1.5,9.6,5.7,36.9,1.5,2.3,14.4,20.9,0.1,0.2,0.3,0.063,-0.7,-0.9,-1.6,0,1,
Marquese Chriss\chrisma01,PF,23,GSW,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5,11.9,0.412,0.357,0.286,11.9,39.1,25.6,11.1,0,6.6,11.3,28.1,-0.1,0.1,0,-0.033,-2.2,-1,-3.2,0,1,
Gary Clark\clarkga01,SF,26,TOT,37,11,17.3,1.1,3.5,0.305,0.8,2.9,0.287,0.2,0.6,0.391,0.424,0.2,0.3,0.8,0.9,2.2,3.1,0.8,0.3,0.2,0.5,0.9,3.2,6.1,0.439,0.824,0.076,5.2,13.5,9.2,6.4,0.9,1,11.2,10.3,-0.2,0.4,0.1,0.011,-3.9,-0.9,-4.8,-0.5,1,
Gary Clark\clarkga01,SF,26,ORL,35,11,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.3,0.7,0.391,0.424,0.2,0.3,0.8,0.9,2.3,3.2,0.9,0.3,0.2,0.5,1,3.4,6.1,0.439,0.824,0.076,5.2,13.4,9.2,6.4,0.9,1,11.2,10.4,-0.2,0.4,0.1,0.011,-3.8,-0.9,-4.8,-0.4,1,
Gary Clark\clarkga01,SF,26,DEN,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0,2.9,,,,0,28.2,14.2,0,0,0,,0,0,0,0,0.037,-8.5,0.3,-8.3,0,1,
Brandon Clarke\clarkbr01,PF,24,MEM,52,16,24.7,4.5,8.6,0.518,0.4,1.3,0.279,4.1,7.3,0.561,0.539,1.3,1.9,0.684,1.5,4,5.5,1.7,1,0.8,0.6,1.4,10.6,16.9,0.56,0.152,0.219,6.3,17.4,11.8,9.8,2,3.1,5.9,17.2,1.9,1.8,3.7,0.137,0.2,1,1.2,1,1,
Jordan Clarkson\clarkjo01,SG,28,UTA,60,1,26.2,6.3,15.2,0.415,3,8.6,0.344,3.4,6.6,0.509,0.513,1.8,1.9,0.922,0.7,3.2,4,2.3,0.9,0.2,1.7,1.5,17.4,16.2,0.541,0.567,0.126,3,12.5,8,14.4,1.6,0.5,9.4,29.2,1,2.1,3.1,0.096,1.5,-1.1,0.4,1,1,
Nicolas Claxton\claxtni01,C,21,BRK,25,1,18.5,2.8,4.8,0.583,0,0.2,0.2,2.8,4.6,0.6,0.588,0.9,1.8,0.5,1.4,3.6,5,1.1,0.8,1.2,0.6,2.1,6.6,16.7,0.585,0.042,0.383,8.8,20.5,14.9,7.9,2,5.7,9.1,14.5,0.7,0.7,1.4,0.146,-0.6,1.1,0.5,0.3,1,
Amir Coffey\coffeam01,SG,23,LAC,44,1,9,1,2.3,0.437,0.5,1.3,0.411,0.5,1.1,0.468,0.549,0.6,0.9,0.711,0.2,0.8,1,0.5,0.2,0,0.3,0.7,3.2,10.1,0.585,0.544,0.369,2.9,9.5,6.3,7.4,1.3,0,11.1,15.1,0.4,0.3,0.7,0.082,-2.1,-0.5,-2.6,-0.1,1,
John Collins\collijo01,PF,23,ATL,56,56,29.9,6.9,12.5,0.55,1.3,3.3,0.38,5.6,9.3,0.61,0.6,2.6,3.1,0.835,2,5.6,7.6,1.3,0.6,1,1.3,3.1,17.7,20.4,0.634,0.262,0.251,7.4,20.3,13.9,7.5,0.9,3,8.6,22.2,4.2,1.6,5.9,0.168,2.4,-0.4,2,1.7,1,
Mike Conley\conlemi01,PG,33,UTA,49,49,29.8,5.7,12.7,0.446,2.7,6.7,0.407,2.9,6,0.49,0.554,2.4,2.8,0.853,0.7,2.7,3.4,6,1.4,0.2,2,1.9,16.4,19.1,0.59,0.528,0.218,2.7,9.3,6.1,30.3,2.2,0.5,12.6,23.1,3.8,2,5.9,0.192,3.5,0.8,4.2,2.3,1,
Pat Connaughton\connapa01,SG,28,MIL,61,3,22.9,2.5,5.6,0.443,1.5,3.9,0.384,1,1.7,0.577,0.576,0.4,0.6,0.743,0.9,3.8,4.7,1.2,0.7,0.3,0.5,1.5,6.9,11.6,0.588,0.695,0.103,4.5,16.7,10.8,6.4,1.5,1.3,7.5,11.6,1.8,1.6,3.4,0.116,-0.2,0.2,0,0.7,1,
Quinn Cook\cookqu01,PG,27,TOT,23,0,6.8,1.3,3,0.426,0.5,1.1,0.423,0.8,1.8,0.429,0.507,0.3,0.3,0.875,0.1,0.7,0.7,0.8,0.2,0,0.3,0.4,3.3,12.8,0.531,0.382,0.118,1.4,10.9,6.1,18.2,1.3,0.6,8.9,21.8,0.1,0.1,0.2,0.064,-1.2,-0.4,-1.5,0,1,
Quinn Cook\cookqu01,PG,27,LAL,16,0,3.9,0.8,1.6,0.462,0.3,0.8,0.385,0.4,0.8,0.538,0.558,0.3,0.3,0.8,0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1,13.9,0.585,0.5,0.192,0,8.9,4.5,12.5,0.8,1.4,9.6,21.9,0.1,0.1,0.1,0.099,-0.3,-0.8,-1.1,0,1,
Quinn Cook\cookqu01,PG,27,CLE,7,0,13.6,2.4,6,0.405,0.9,1.9,0.462,1.6,4.1,0.379,0.476,0.4,0.4,1,0.3,1.4,1.7,1.9,0.4,0,0.6,1.1,6.1,12,0.496,0.31,0.071,2.3,12.2,7.1,21.9,1.6,0,8.5,21.8,0,0.1,0.1,0.041,-1.7,-0.1,-1.8,0,1,
Tyler Cook\cookty01,SF-PF,23,TOT,24,1,11.8,1.7,2.8,0.606,0,0,0,1.7,2.7,0.615,0.606,0.5,0.9,0.524,0.9,1.7,2.6,0.5,0.2,0,0.7,1.1,3.8,10.8,0.605,0.015,0.318,8.6,15.9,12.2,6.9,0.9,0,17.5,14.1,0.2,0.2,0.4,0.062,-3.6,-0.8,-4.4,-0.2,1,
Tyler Cook\cookty01,PF,23,BRK,4,0,4.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0,0,,0.3,0.3,0.5,0.5,0,0,0.3,0.5,0.5,1.6,0.333,0,0,6.8,6.3,6.5,14.1,0,0,25,10.2,0,0,0,-0.047,-5.3,-1.5,-6.8,0,1,
Tyler Cook\cookty01,SF,23,DET,20,1,13.3,2,3.2,0.619,0,0.1,0,2,3.1,0.629,0.619,0.6,1.1,0.524,1.1,2,3,0.6,0.3,0,0.8,1.2,4.5,11.4,0.616,0.016,0.333,8.7,16.6,12.6,6.4,0.9,0,17.2,14.3,0.2,0.2,0.4,0.069,-3.5,-0.7,-4.3,-0.2,1,
DeMarcus Cousins\couside01,C,30,TOT,35,11,18.2,3.2,7.8,0.405,1.3,3.7,0.346,1.9,4.1,0.458,0.487,1.6,2.2,0.718,1.4,5.5,6.9,2.1,0.7,0.6,1.7,2.7,9.2,15.7,0.524,0.474,0.285,8.1,33.5,20.3,17.4,1.9,3.1,15.8,24.7,-0.1,1,0.9,0.068,-1.4,1.6,0.1,0.3,1,
DeMarcus Cousins\couside01,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6,15,0.511,0.552,0.281,6,35.3,20.1,18.1,2,3.2,14.2,23.1,-0.1,0.8,0.7,0.068,-1.5,1.9,0.4,0.3,1,
