Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,mvp score
Drew Eubanks\eubandr01,C,24,POR,22,22,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6,9,0.675,0.656,1.8,2.3,0.784,3,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,19.9,0.678,0.071,0.241,10.8,21,15.7,9.1,1.4,1.5,13,18,1.6,0.3,2,0.144,0.8,-2.3,-1.5,0.1,1,
Dorian Finney-Smith\finnedo01,PF,28,DAL,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1,2.3,11,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9,1,
Evan Fournier\fournev01,SG,29,NYK,80,80,29.5,5,12.1,0.417,3,7.7,0.389,2,4.3,0.465,0.541,1,1.4,0.708,0.4,2.2,2.6,2.1,1,0.3,1.3,2.3,14.1,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,1.5,2.2,3.7,0.075,-0.4,-0.3,-0.7,0.7,1,
De'Aaron Fox\foxde01,PG,24,SAC,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,17.4,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,1.5,1,2.5,0.058,0.6,-1.2,-0.6,0.7,1,
Daniel Gafford\gaffoda01,C,23,WAS,72,53,20.1,4,5.7,0.693,0,0,0,4,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,21.8,0.708,0.002,0.372,12.1,19,15.6,7.3,1,5.8,12,16.7,4.4,1.6,6,0.198,1.1,0.5,1.6,1.3,1,
Darius Garland\garlada01,PG,22,CLE,68,68,35.7,8,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,19,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,0.125,3.4,-0.8,2.6,2.8,1,
Paul George\georgpa01,SF,31,LAC,31,31,34.7,8.6,20.5,0.421,2.9,8.3,0.354,5.7,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3,1,15.2,33.7,-0.6,1.9,1.3,0.057,1.7,1.9,3.6,1.5,1,
Josh Giddey\giddejo01,SG,19,OKC,54,54,31.5,5.2,12.4,0.419,1,3.9,0.263,4.2,8.5,0.492,0.461,1,1.5,0.709,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,12.5,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-1,0.4,1,
Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5,5.9,1.3,0.8,2.8,2.5,24.5,20.9,0.557,0.282,0.385,1.9,13,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,0.113,2.9,0.5,3.4,2.7,1,
Rudy Gobert\goberru01,C,29,UTA,66,66,32.1,5.5,7.7,0.713,0,0.1,0,5.5,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11,14.7,1.1,0.7,2.1,1.8,2.7,15.6,24.7,0.732,0.008,0.864,12.9,36.3,25,5.1,1,5.7,14.5,16.9,7.3,4.3,11.7,0.264,2.9,1.7,4.6,3.6,1,
Aaron Gordon\gordoaa01,PF,26,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2,15,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2,5.2,0.105,0.5,-1.1,-0.6,0.9,1,
Eric Gordon\gordoer01,SG,33,HOU,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2,2.7,0.5,0.3,1.9,1.1,13.4,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,1.5,-0.1,1.4,0.04,-0.1,-2.2,-2.3,-0.1,1,
Devonte' Graham\grahade01,PG,26,NOP,76,63,28.4,3.9,10.7,0.363,2.5,7.4,0.341,1.4,3.3,0.413,0.481,1.6,1.8,0.843,0.5,1.8,2.3,4.2,0.9,0.2,1.4,1.3,11.9,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21,1.6,0.5,10.7,19.5,1.6,1.2,2.8,0.062,0.2,-1.2,-1,0.5,1,
Jerami Grant\grantje01,PF,27,DET,47,47,31.9,6.3,14.9,0.426,1.9,5.4,0.358,4.4,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1,1.8,2.3,19.2,16.1,0.556,0.363,0.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,1.2,1.1,2.3,0.075,1.4,-0.2,1.2,1.2,1,
Danny Green\greenda02,SF,34,PHI,62,28,21.8,2,5.2,0.394,1.7,4.4,0.38,0.4,0.8,0.469,0.555,0.2,0.2,0.786,0.5,2,2.5,1,1,0.6,0.7,1.7,5.9,9.5,0.561,0.847,0.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,0.3,1.6,1.9,0.067,-1.4,0.8,-0.5,0.5,1,
Draymond Green\greendr01,PF,31,GSW,46,44,28.9,2.9,5.6,0.525,0.3,1.2,0.296,2.6,4.4,0.586,0.556,1.3,2,0.659,1,6.3,7.3,7,1.3,1.1,3,3,7.5,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,0.8,2.8,3.6,0.131,-1.4,4.6,3.2,1.8,1,
Jalen Green\greenja05,SG,19,HOU,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,3.7,7.4,0.502,0.508,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2,1.5,17.3,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,1,
Javonte Green\greenja02,SF,28,CHI,65,45,23.4,2.7,5,0.542,0.6,1.6,0.356,2.2,3.4,0.625,0.597,1.2,1.5,0.833,1.4,2.8,4.2,0.9,1,0.5,0.5,2,7.2,14,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,0.139,-0.6,0.7,0.1,0.8,1,
Jeff Green\greenje02,C,35,DEN,75,63,24.7,3.7,7.1,0.524,0.7,2.2,0.315,3,4.8,0.62,0.574,2.2,2.6,0.833,0.5,2.5,3.1,1.3,0.4,0.4,0.9,2,10.3,12.5,0.627,0.318,0.374,2.6,11.1,7,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,0.101,-1.2,-1.2,-2.5,-0.2,1,
Blake Griffin\griffbl01,PF,32,BRK,56,24,17.1,2.4,5.6,0.425,0.7,2.6,0.262,1.7,3,0.565,0.486,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4,13.7,0.518,0.463,0.243,7,18.6,13,15,1.4,1.3,8.2,16.9,1.2,0.9,2.1,0.106,-0.6,0.1,-0.6,0.3,1,
Tyrese Haliburton\halibty01,SG-PG,21,TOT,77,77,35,5.6,11.8,0.473,2.1,5.1,0.414,3.5,6.8,0.517,0.562,2.1,2.5,0.842,0.8,3.2,4,8.2,1.7,0.6,2.6,1.6,15.3,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19,5.2,1.8,7,0.125,2.7,-0.1,2.6,3.1,1,
Tyrese Haliburton\halibty01,SG,21,SAC,51,51,34.5,5.3,11.5,0.457,2,4.9,0.413,3.2,6.5,0.491,0.546,1.7,2,0.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3,17,0.575,0.43,0.177,2.4,10,6.2,31.4,2.4,1.7,15.4,18.3,2.7,1.2,4,0.109,2.2,0.4,2.6,2,1,
Tyrese Haliburton\halibty01,PG,21,IND,26,26,36.1,6.2,12.4,0.502,2.2,5.3,0.416,4,7.2,0.565,0.59,2.8,3.3,0.849,0.8,3.5,4.3,9.6,1.8,0.6,3.2,1.9,17.5,20.5,0.629,0.424,0.266,2.6,10.9,6.7,38.9,2.5,1.4,18.9,20.3,2.5,0.6,3,0.156,3.7,-1,2.8,1.1,1,
